NXN	ENSG00000167693	219489_s_at
ZFAND1	ENSG00000104231	218919_at
PLTP	ENSG00000100979	202075_s_at
RAD54L2	ENSG00000164080	213205_s_at
MEX3C	ENSG00000176624	218247_s_at
GLMN	ENSG00000174842	207153_s_at
PDE12	ENSG00000174840	214826_at
KCNS3	ENSG00000170745	205968_at
S100A14	ENSG00000189334	218677_at
VPREB3	ENSG00000128218	220068_at
ZNF84	ENSG00000198040	204453_at
ZNF667	ENSG00000198046	207120_at
ZNF672	ENSG00000171161	218068_s_at
GLO1	ENSG00000124767	200681_at
LY6G5C	ENSG00000204428	219860_at
COX5A	ENSG00000178741	203663_s_at
F2R	ENSG00000181104	203989_x_at
IGFBP6	ENSG00000167779	203851_at
ANGPTL4	ENSG00000167772	221009_s_at
RPSA	ENSG00000168028	213801_x_at
RCN1	ENSG00000049449	201063_at
IGSF6	ENSG00000140749	206420_at
UPK3B	ENSG00000243566	206658_at
DCXR	ENSG00000169738	217973_at
PROM1	ENSG00000007062	204304_s_at
KIF5C	ENSG00000168280	203129_s_at
BMI1	ENSG00000168283	202265_at
RASA4	ENSG00000105808	212706_at
PDLIM2	ENSG00000120913	219165_at
EPHX2	ENSG00000120915	209368_at
FAM189A2	ENSG00000135063	213900_at
SUMO4	ENSG00000177688	215452_x_at
PSAT1	ENSG00000135069	220892_s_at
SDF2	ENSG00000132581	203090_at
NPC2	ENSG00000119655	200701_at
EDN2	ENSG00000127129	206758_at
FBXO22	ENSG00000167196	219638_at
ADM	ENSG00000148926	202912_at
ZKSCAN4	ENSG00000187626	213625_at
ZNF281	ENSG00000162702	218401_s_at
ANPEP	ENSG00000166825	202888_s_at
ITGB1BP2	ENSG00000147166	219829_at
TEC	ENSG00000135605	206301_at
STX11	ENSG00000135604	210190_at
ZNF787	ENSG00000142409	213402_at
IL2RG	ENSG00000147168	204116_at
SCNN1G	ENSG00000166828	207295_at
DDX21	ENSG00000165732	208152_s_at
BMS1	ENSG00000165733	203082_at
ISCU	ENSG00000136003	209075_s_at
SERPINH1	ENSG00000149257	207714_s_at
ACSL5	ENSG00000197142	218322_s_at
P2RY1	ENSG00000169860	207455_at
CYSLTR1	ENSG00000173198	216288_at
BEST1	ENSG00000167995	207671_s_at
SSR2	ENSG00000163479	200652_at
LEPREL4	ENSG00000141696	204078_at
SPTLC3	ENSG00000172296	220456_at
STAG3	ENSG00000066923	219753_at
CASC1	ENSG00000118307	220168_at
HEXB	ENSG00000049860	201944_at
DCLRE1B	ENSG00000118655	219490_s_at
CYP2C19	ENSG00000165841	216058_s_at
CD247	ENSG00000198821	210031_at
SMARCAL1	ENSG00000138375	218452_at
BARD1	ENSG00000138376	205345_at
ALDOAP2	ENSG00000214297	211617_at
STAT4	ENSG00000138378	206118_at
MSTN	ENSG00000138379	207145_at
CCR6	ENSG00000112486	206983_at
LILRA6	ENSG00000244482	208594_x_at
HAAO	ENSG00000162882	205657_at
GTF2E1	ENSG00000153767	205930_at
LINC00115	ENSG00000225880	220399_at
COX16	ENSG00000133983	217645_at
COPS3	ENSG00000141030	202078_at
SERPINB10	ENSG00000242550	214539_at
GNG4	ENSG00000168243	205184_at
VTI1B	ENSG00000100568	209452_s_at
SFXN1	ENSG00000164466	218392_x_at
LTN1	ENSG00000198862	215596_s_at
PSMA3	ENSG00000100567	201532_at
PIGH	ENSG00000100564	209625_at
FZD7	ENSG00000155760	203706_s_at
DYNC1LI1	ENSG00000144635	217976_s_at
POU5F1B	ENSG00000212993	214532_x_at
FBP2	ENSG00000130957	206844_at
CCZ1	ENSG00000122674	201974_s_at
POLM	ENSG00000122678	222238_s_at
ZDHHC18	ENSG00000204160	212860_at
AFAP1	ENSG00000196526	203563_at
OSTM1	ENSG00000081087	218196_at
ZNF702P	ENSG00000242779	206557_at
RAB3D	ENSG00000105514	208466_at
FPGT	ENSG00000254685	205140_at
FAM13C	ENSG00000148541	214914_at
ZNF506	ENSG00000081665	221626_at
ACSBG2	ENSG00000130377	221716_s_at
YARS2	ENSG00000139131	218470_at
ZNF350	ENSG00000256683	219266_at
PRSS53	ENSG00000151006	214226_at
GABRB2	ENSG00000145864	207352_s_at
GRAP	ENSG00000154016	206620_at
PARK7	ENSG00000116288	200006_at
FAM169A	ENSG00000198780	213954_at
MTMR12	ENSG00000150712	220953_s_at
HYAL1	ENSG00000114378	210619_s_at
DBF4B	ENSG00000161692	206661_at
NMD3	ENSG00000169251	218036_x_at
GTF2H3	ENSG00000111358	222104_x_at
ZKSCAN3	ENSG00000189298	211773_s_at
PANK4	ENSG00000157881	218771_at
SP140	ENSG00000079263	207777_s_at
CYB5R2	ENSG00000166394	220230_s_at
LRRC17	ENSG00000128606	205381_at
CNKSR1	ENSG00000142675	204740_at
H2AFJ	ENSG00000246705	220936_s_at
MAP2K1	ENSG00000169032	202670_at
TINF2	ENSG00000092330	220052_s_at
AMMECR1	ENSG00000101935	204976_s_at
POLR2H	ENSG00000163882	209302_at
RAB40C	ENSG00000197562	213466_at
SKI	ENSG00000157933	204270_at
ZNF629	ENSG00000102870	213196_at
MAPK13	ENSG00000156711	210059_s_at
POU5F1P4	ENSG00000237872	210905_x_at
PTPN7	ENSG00000143851	204852_s_at
PLEKHA6	ENSG00000143850	205093_at
GPN1	ENSG00000198522	209313_at
ZNF780B	ENSG00000128000	214899_at
MAST1	ENSG00000105613	217231_s_at
KLF1	ENSG00000105610	210504_at
RAG1	ENSG00000166349	206591_at
MAD1L1	ENSG00000002822	204857_at
TFPT	ENSG00000105619	218996_at
THAP1	ENSG00000131931	219292_at
HSD11B2	ENSG00000176387	204130_at
B3GNT4	ENSG00000176383	221240_s_at
PKD1P1	ENSG00000244257	221501_x_at
PYGM	ENSG00000068976	205577_at
UBE2W	ENSG00000104343	218521_s_at
FBXO34	ENSG00000178974	218539_at
SCMH1	ENSG00000010803	221216_s_at
LINC00339	ENSG00000218510	219865_at
ADAM18	ENSG00000168619	207597_at
ZSWIM1	ENSG00000168612	217592_at
STAT3	ENSG00000168610	208991_at
ADAM9	ENSG00000168615	202381_at
RAB8B	ENSG00000166128	219210_s_at
PIGK	ENSG00000142892	209707_at
AMN	ENSG00000166126	220989_s_at
CTNNA2	ENSG00000066032	205373_at
NRBP1	ENSG00000115216	217765_at
NDUFB11	ENSG00000147123	218320_s_at
ECM2	ENSG00000106823	206101_at
MAGEF1	ENSG00000177383	218176_at
PLEKHO1	ENSG00000023902	218223_s_at
AGBL2	ENSG00000165923	220390_at
GCLM	ENSG00000023909	203925_at
TSC1	ENSG00000165699	209390_at
DLGAP5	ENSG00000126787	203764_at
CDK5RAP3	ENSG00000108465	218740_s_at
DCTN4	ENSG00000132912	218013_x_at
HLA-DRA	ENSG00000204287	210982_s_at
CBX1	ENSG00000108468	201518_at
PDE6A	ENSG00000132915	206623_at
DEAF1	ENSG00000177030	209407_s_at
ACOXL	ENSG00000153093	220845_at
DMXL1	ENSG00000172869	203791_at
CHIT1	ENSG00000133063	208168_s_at
VIL1	ENSG00000127831	205506_at
AAMP	ENSG00000127837	201511_at
TDRD12	ENSG00000173809	215356_at
RAB20	ENSG00000139832	219622_at
JUP	ENSG00000173801	201015_s_at
ANKFY1	ENSG00000185722	219868_s_at
DRG1	ENSG00000185721	202810_at
IL9R	ENSG00000124334	217212_s_at
IRF7	ENSG00000185507	208436_s_at
IGFALS	ENSG00000099769	215712_s_at
YTHDF3	ENSG00000185728	221749_at
METTL4	ENSG00000101574	219698_s_at
UGT8	ENSG00000174607	208358_s_at
VAMP7	ENSG00000124333	202829_s_at
LAS1L	ENSG00000001497	208117_s_at
CA3	ENSG00000164879	204865_at
TCEAL1	ENSG00000172465	204045_at
CRABP2	ENSG00000143320	202575_at
CPNE3	ENSG00000085719	202118_s_at
IFIT3	ENSG00000119917	204747_at
COMMD3	ENSG00000148444	218048_at
AIM1	ENSG00000112297	212543_at
WASF1	ENSG00000112290	204165_at
IL7	ENSG00000104432	206693_at
VNN1	ENSG00000112299	205844_at
AFG3L2	ENSG00000141385	202486_at
FUBP3	ENSG00000107164	212824_at
TAF4B	ENSG00000141384	216226_at
CNN3	ENSG00000117519	201445_at
NUP62	ENSG00000213024	207740_s_at
ZNF611	ENSG00000213020	208137_x_at
H1FX	ENSG00000184897	204805_s_at
WDR41	ENSG00000164253	218055_s_at
RABL5	ENSG00000128581	218785_s_at
SHCBP1	ENSG00000171241	219493_at
NDUFS4	ENSG00000164258	209303_at
MKLN1	ENSG00000128585	204423_at
TTC30A	ENSG00000197557	213679_at
METTL9	ENSG00000197006	217868_s_at
ZC3H4	ENSG00000130749	213390_at
TMEM160	ENSG00000130748	219219_at
RAB36	ENSG00000100228	211471_s_at
BDKRB1	ENSG00000100739	207510_at
EIF2S3	ENSG00000130741	205321_at
PGRMC1	ENSG00000101856	201120_s_at
NRIP2	ENSG00000053702	215104_at
MYLK3	ENSG00000140795	217623_at
SLC2A4RG	ENSG00000125520	218494_s_at
TPST2	ENSG00000128294	204079_at
CRIP2	ENSG00000182809	208978_at
CYP2J2	ENSG00000134716	205073_at
CD53	ENSG00000143119	203416_at
TACC3	ENSG00000013810	218308_at
AP2M1	ENSG00000161203	200613_at
NRD1	ENSG00000078618	208709_s_at
LACTB2	ENSG00000147592	218701_at
PISD	ENSG00000241878	202392_s_at
BFAR	ENSG00000103429	218056_at
TRBC2	ENSG00000211772	217326_x_at
RAC3	ENSG00000169750	206103_at
ECHDC1	ENSG00000093144	219974_x_at
ATOX1	ENSG00000177556	203454_s_at
CLEC2D	ENSG00000069493	220132_s_at
DLEU2	ENSG00000231607	216870_x_at
CLDN10	ENSG00000134873	205328_at
SP4	ENSG00000105866	206663_at
MICAL1	ENSG00000135596	218376_s_at
ANXA1	ENSG00000135046	201012_at
STARD3	ENSG00000131748	202991_at
DOK3	ENSG00000146094	220320_at
FBXL14	ENSG00000171823	213145_at
TUT1	ENSG00000149016	218965_s_at
FIP1L1	ENSG00000145216	221007_s_at
DGKQ	ENSG00000145214	207562_at
SLC25A10	ENSG00000183048	218275_at
CAMK1D	ENSG00000183049	220246_at
ZNF286A	ENSG00000187607	220250_at
TET3	ENSG00000187605	214754_at
LPAR4	ENSG00000147145	206960_at
CCT7	ENSG00000135624	200812_at
ISG15	ENSG00000187608	205483_s_at
EXD3	ENSG00000187609	220838_at
FAM111A	ENSG00000166801	218248_at
SELL	ENSG00000188404	204563_at
BARX2	ENSG00000043039	210419_at
STK16	ENSG00000115661	209622_at
STARD7	ENSG00000084090	200028_s_at
MAGEB1	ENSG00000214107	207534_at
RAP1B	ENSG00000127314	200833_s_at
SLC1A5	ENSG00000105281	208916_at
TNFRSF17	ENSG00000048462	206641_at
GNB3	ENSG00000111664	206047_at
ZDHHC4	ENSG00000136247	220261_s_at
IL6	ENSG00000136244	205207_at
NUPL2	ENSG00000136243	204003_s_at
GMPR	ENSG00000137198	204187_at
CCL20	ENSG00000115009	205476_at
TMX2	ENSG00000213593	201175_at
PIM1	ENSG00000137193	209193_at
BBS7	ENSG00000138686	219688_at
EPHX3	ENSG00000105131	220013_at
RPS8	ENSG00000142937	200858_s_at
BRMS1	ENSG00000174744	215631_s_at
SCYL2	ENSG00000136021	221220_s_at
RPS14P3	ENSG00000226396	208646_at
RPS3	ENSG00000149273	208692_at
EHMT1	ENSG00000181090	219339_s_at
GAS8	ENSG00000141013	204921_at
UQCRQ	ENSG00000164405	201568_at
NT5M	ENSG00000205309	219708_at
ATF7IP2	ENSG00000166669	219870_at
OVOL1	ENSG00000172818	206604_at
TRIM9	ENSG00000100505	209859_at
CHST15	ENSG00000182022	203066_at
CRYBB2	ENSG00000244752	206778_at
UBL5	ENSG00000198258	218011_at
KCNG2	ENSG00000178342	208550_x_at
CD96	ENSG00000153283	206761_at
LAMTOR2	ENSG00000116586	218291_at
ARHGEF2	ENSG00000116584	207629_s_at
TNNI1	ENSG00000159173	205177_at
DKK4	ENSG00000104371	206619_at
CUEDC1	ENSG00000180891	219468_s_at
NACAP1	ENSG00000228224	211445_x_at
IFT88	ENSG00000032742	204703_at
ARID4A	ENSG00000032219	205062_x_at
SMARCB1	ENSG00000099956	212167_s_at
CEP192	ENSG00000101639	218827_s_at
ST8SIA5	ENSG00000101638	206258_at
CFD	ENSG00000197766	205382_s_at
PLCG2	ENSG00000197943	204613_at
FJX1	ENSG00000179431	219522_at
TARS	ENSG00000113407	201263_at
JRKL	ENSG00000183340	206734_at
FAM135A	ENSG00000082269	221233_s_at
THBS3	ENSG00000169231	209561_at
CCR4	ENSG00000183813	208376_at
RIC8A	ENSG00000177963	221647_s_at
DLK2	ENSG00000171462	220262_s_at
SLC38A1	ENSG00000111371	218237_s_at
DHX40	ENSG00000108406	218277_s_at
TROAP	ENSG00000135451	204649_at
B4GALNT1	ENSG00000135454	206435_at
UQCRFS1	ENSG00000169021	208909_at
ZNF362	ENSG00000160094	214915_at
AEBP1	ENSG00000106624	201792_at
ATP13A1	ENSG00000105726	218052_s_at
POLD2	ENSG00000106628	201115_at
TMEM33	ENSG00000109133	218465_at
TMSB10	ENSG00000034510	217733_s_at
AOC2	ENSG00000131480	207064_s_at
TRIP4	ENSG00000103671	203732_at
DIXDC1	ENSG00000150764	214724_at
ELOVL4	ENSG00000118402	219532_at
GPD1L	ENSG00000152642	212510_at
USP25	ENSG00000155313	220419_s_at
CHORDC1	ENSG00000110172	218566_s_at
EGFL6	ENSG00000198759	219454_at
RRNAD1	ENSG00000143303	218914_at
STIM1	ENSG00000167323	202764_at
SCCPDH	ENSG00000143653	201826_s_at
RHOB	ENSG00000143878	212099_at
ABCB7	ENSG00000131269	209620_s_at
MRPL44	ENSG00000135900	218202_x_at
DDX54	ENSG00000123064	219111_s_at
SAR1B	ENSG00000152700	218254_s_at
ZNF343	ENSG00000088876	207296_at
STON1	ENSG00000243244	213413_at
MTA2	ENSG00000149480	203444_s_at
PEX26	ENSG00000215193	219180_s_at
DPM2	ENSG00000136908	209391_at
NES	ENSG00000132688	218678_at
TAF7	ENSG00000178913	201023_at
DUSP8	ENSG00000184545	206374_at
CCNL1	ENSG00000163660	220046_s_at
PTX3	ENSG00000163661	206157_at
HESX1	ENSG00000163666	211267_at
PJA1	ENSG00000181191	218667_at
SNX11	ENSG00000002919	53912_at
ZNF266	ENSG00000174652	214686_at
RHCE	ENSG00000188672	216317_x_at
ZBTB6	ENSG00000186130	206098_at
CYTH1	ENSG00000108669	202879_s_at
GCA	ENSG00000115271	203765_at
MOGS	ENSG00000115275	210627_s_at
NDUFC1	ENSG00000109390	203478_at
NPY6R	ENSG00000226306	210444_at
PRDX3	ENSG00000165672	201619_at
NSD1	ENSG00000165671	219084_at
ABHD14A	ENSG00000248487	210006_at
AMT	ENSG00000145020	204294_at
DDX41	ENSG00000183258	217840_at
ZNF318	ENSG00000171467	203520_s_at
ZDHHC13	ENSG00000177054	219296_at
GPC5	ENSG00000179399	207174_at
TAF15	ENSG00000172660	202840_at
TMEM134	ENSG00000172663	218531_at
ZMAT3	ENSG00000172667	219628_at
TNFRSF10D	ENSG00000173530	210654_at
MTERFD2	ENSG00000122085	214364_at
GTF2A1	ENSG00000165417	206521_s_at
HIST1H2BB	ENSG00000196226	208547_at
GLB1	ENSG00000170266	201576_s_at
PCYOX1	ENSG00000116005	203803_at
PPP1R8	ENSG00000117751	207830_s_at
CACNA1F	ENSG00000102001	208377_s_at
P4HA1	ENSG00000122884	207543_s_at
CKAP2	ENSG00000136108	218252_at
OLR1	ENSG00000173391	210004_at
SLC6A7	ENSG00000011083	208494_at
CCDC68	ENSG00000166510	220180_at
RDH14	ENSG00000240857	222203_s_at
TRMT12	ENSG00000183665	219299_at
LRP2	ENSG00000081479	205710_at
CACNA1B	ENSG00000148408	207162_s_at
YIF1B	ENSG00000167645	220207_at
RIT1	ENSG00000143622	209882_at
ESRP1	ENSG00000104413	219121_s_at
ADIPOR1	ENSG00000159346	217748_at
OIP5	ENSG00000104147	213599_at
ATG9A	ENSG00000198925	202492_at
TSNAX	ENSG00000116918	203983_at
NDRG1	ENSG00000104419	200632_s_at
CYB5R1	ENSG00000159348	202263_at
ARC	ENSG00000198576	210090_at
MCM2	ENSG00000073111	202107_s_at
ADAMDEC1	ENSG00000134028	206134_at
RNF220	ENSG00000187147	219988_s_at
CTSF	ENSG00000174080	203657_s_at
FAM8A1	ENSG00000137414	203420_at
KCNMB1	ENSG00000145936	209948_at
DENND1B	ENSG00000213047	219696_at
VGF	ENSG00000128564	205586_x_at
TSPAN32	ENSG00000064201	220558_x_at
PRKRIP1	ENSG00000128563	218378_s_at
CYB5R3	ENSG00000100243	201885_s_at
RWDD1	ENSG00000111832	219598_s_at
ZFYVE21	ENSG00000100711	219929_s_at
DNAL4	ENSG00000100246	204008_at
UNC119B	ENSG00000175970	202365_at
HOXA4	ENSG00000197576	206289_at
TOPORS	ENSG00000197579	204071_s_at
TREX2	ENSG00000183479	211788_s_at
MBOAT7	ENSG00000125505	211037_s_at
LY75	ENSG00000054219	205668_at
PPIP5K2	ENSG00000145725	203253_s_at
ASB7	ENSG00000183475	219996_at
SCRN3	ENSG00000144306	219234_x_at
NAPG	ENSG00000134265	210048_at
ACBD3	ENSG00000182827	202323_s_at
MXRA7	ENSG00000182534	212509_s_at
CROT	ENSG00000005469	204573_at
MLF2	ENSG00000089693	200948_at
AZI2	ENSG00000163512	218043_s_at
ARHGAP4	ENSG00000089820	204425_at
VNN3	ENSG00000093134	220528_at
LEPREL2	ENSG00000110811	204854_at
OAT	ENSG00000065154	201599_at
TSPAN2	ENSG00000134198	214606_at
SCN4A	ENSG00000007314	206981_at
CD79B	ENSG00000007312	205297_s_at
AMOT	ENSG00000126016	209521_s_at
TGFBR3	ENSG00000069702	204731_at
MBOAT2	ENSG00000143797	213288_at
DOLK	ENSG00000175283	204488_at
HDAC7	ENSG00000061273	217937_s_at
RGL2	ENSG00000237441	209110_s_at
TCP11	ENSG00000124678	220378_at
AURKAIP1	ENSG00000175756	218580_x_at
AKAP12	ENSG00000131016	210517_s_at
TWISTNB	ENSG00000105849	214729_at
EMP3	ENSG00000142227	203729_at
HIST1H1C	ENSG00000187837	209398_at
IL19	ENSG00000142224	220745_at
RHCG	ENSG00000140519	219554_at
PLA2G16	ENSG00000176485	209581_at
RPS27L	ENSG00000185088	218007_s_at
TSSC4	ENSG00000184281	218612_s_at
FZD8	ENSG00000177283	216587_s_at
BPNT1	ENSG00000162813	219391_at
ZBTB5	ENSG00000168795	203026_at
LTA4H	ENSG00000111144	208771_s_at
TAC3	ENSG00000166863	219992_at
ACP6	ENSG00000162836	218795_at
PCDHGA10	ENSG00000253846	211875_x_at
FLVCR2	ENSG00000119686	219316_s_at
FANCL	ENSG00000115392	218397_at
ANO3	ENSG00000134343	215241_at
FAM173A	ENSG00000103254	219709_x_at
RHOH	ENSG00000168421	204951_at
PMCH	ENSG00000183395	206942_s_at
GSR	ENSG00000104687	205770_at
LAMTOR3	ENSG00000109270	217971_at
TPM3	ENSG00000143549	214365_at
LCP1	ENSG00000136167	208885_at
RRP8	ENSG00000132275	203170_at
TRIM22	ENSG00000132274	213293_s_at
KIF13A	ENSG00000137177	220777_at
TINAGL1	ENSG00000142910	219058_x_at
PIN1P1	ENSG00000229359	207582_at
BRAF	ENSG00000157764	206044_s_at
HNRNPA3P1	ENSG00000226790	206808_at
DCAF13	ENSG00000164934	220843_s_at
SLC25A32	ENSG00000164933	221020_s_at
RARRES3	ENSG00000133321	204070_at
CSDC2	ENSG00000172346	209981_at
STARD5	ENSG00000172345	213820_s_at
RPS6KA4	ENSG00000162302	204632_at
TMPRSS5	ENSG00000166682	221032_s_at
CNIH	ENSG00000100528	201653_at
HS1BP3	ENSG00000118960	219020_at
TTC19	ENSG00000011295	217964_at
KDM4D	ENSG00000186280	220278_at
TOR3A	ENSG00000186283	218459_at
UBTD1	ENSG00000165886	219172_at
PIKFYVE	ENSG00000115020	213111_at
MLH1	ENSG00000076242	202520_s_at
FABP5	ENSG00000164687	202345_s_at
USP39	ENSG00000168883	217829_s_at
UNG	ENSG00000076248	202330_s_at
KBTBD2	ENSG00000170852	212447_at
LIMS3	ENSG00000256977	215247_at
HIRIP3	ENSG00000149929	204504_s_at
RAPGEF1	ENSG00000107263	204543_at
PPP4C	ENSG00000149923	208932_at
ALDOA	ENSG00000149925	214687_x_at
DOC2A	ENSG00000149927	205744_at
LY96	ENSG00000154589	206584_at
PARP4	ENSG00000102699	202239_at
ABHD3	ENSG00000158201	213017_at
CST3	ENSG00000101439	201360_at
RBX1	ENSG00000100387	218117_at
IL2RB	ENSG00000100385	205291_at
C1R	ENSG00000159403	212067_s_at
PTPRN	ENSG00000054356	204945_at
AGPAT5	ENSG00000155189	218096_at
LSM7	ENSG00000130332	204559_s_at
POLR2J	ENSG00000005075	212782_x_at
TULP4	ENSG00000130338	218184_at
FAM172A	ENSG00000113391	212936_at
SSR4	ENSG00000180879	201004_at
DNMBP	ENSG00000107554	212838_at
CXCL14	ENSG00000145824	218002_s_at
ZDHHC24	ENSG00000174165	205634_x_at
RNMT	ENSG00000101654	202684_s_at
IMPACT	ENSG00000154059	218637_at
NUS1P3	ENSG00000234627	37079_at
S100A10	ENSG00000197747	200872_at
CCT5	ENSG00000150753	208696_at
WDR96	ENSG00000197748	220919_s_at
LRIF1	ENSG00000121931	220235_s_at
SLC5A2	ENSG00000140675	207771_at
ZNF804A	ENSG00000170396	215767_at
PNMA3	ENSG00000183837	220923_s_at
DIP2A	ENSG00000160305	215529_x_at
DDX47	ENSG00000213782	220890_s_at
GTF2H4	ENSG00000213780	203577_at
RASA2	ENSG00000155903	206636_at
SEMA3A	ENSG00000075213	206805_at
ERGIC2	ENSG00000087502	218135_at
CPPED1	ENSG00000103381	218610_s_at
DDX51	ENSG00000185163	214968_at
AKR7A2	ENSG00000053371	202139_at
MRTO4	ENSG00000053372	220688_s_at
ADORA3	ENSG00000121933	206171_at
TMEM140	ENSG00000146859	218999_at
AGBL3	ENSG00000146856	220649_at
GPATCH3	ENSG00000198746	218895_at
ZNF652	ENSG00000198740	205594_at
URGCP	ENSG00000106608	218601_at
KIF5A	ENSG00000155980	205318_at
DGKG	ENSG00000058866	206395_at
TUBG1	ENSG00000131462	201714_at
ASTE1	ENSG00000034533	221135_s_at
HERC1	ENSG00000103657	218306_s_at
RPL27	ENSG00000131469	200025_s_at
FBXW4P1	ENSG00000230701	214623_at
PKD2L2	ENSG00000078795	221118_at
DRP2	ENSG00000102385	207648_at
TAF7L	ENSG00000102387	220325_at
FLG	ENSG00000143631	215704_at
SPINK2	ENSG00000128040	206310_at
RASL11B	ENSG00000128045	219142_at
CYB5R4	ENSG00000065615	219079_at
MCC	ENSG00000171444	206132_at
BCAS4	ENSG00000124243	220588_at
GPR125	ENSG00000152990	210473_s_at
GOLGA7	ENSG00000147533	217819_at
PLA2G12A	ENSG00000123739	221027_s_at
GINS4	ENSG00000147536	211767_at
EXOSC9	ENSG00000123737	205061_s_at
STARD13	ENSG00000133121	213103_at
ZNF552	ENSG00000178935	219741_x_at
TUBA3C	ENSG00000198033	210527_x_at
FYCO1	ENSG00000163820	218204_s_at
TAS2R13	ENSG00000212128	221395_at
LRRC2	ENSG00000163827	219949_at
TAS2R14	ENSG00000212127	221391_at
TBL1Y	ENSG00000092377	211462_s_at
ALDH3A1	ENSG00000108602	205623_at
CMTM6	ENSG00000091317	217947_at
NAA10	ENSG00000102030	203025_at
CATSPERG	ENSG00000099338	221316_at
CCNT1	ENSG00000129315	206967_at
OCEL1	ENSG00000099330	205441_at
SDF2L1	ENSG00000128228	218681_s_at
TMEM214	ENSG00000119777	217899_at
ATAD2B	ENSG00000119778	213387_at
WBSCR22	ENSG00000071462	207628_s_at
CLGN	ENSG00000153132	205830_at
CD33	ENSG00000105383	206120_at
CYP27A1	ENSG00000135929	203979_at
TMBIM1	ENSG00000135926	217730_at
QRICH1	ENSG00000198218	209174_s_at
SLC16A6	ENSG00000108932	207038_at
PDZD8	ENSG00000165650	213549_at
NEDD8	ENSG00000129559	201840_at
ZCCHC8	ENSG00000033030	218478_s_at
STAP1	ENSG00000035720	220059_at
MAPKAP1	ENSG00000119487	217808_s_at
NPHP1	ENSG00000144061	206285_at
ADPRH	ENSG00000144843	207863_at
VEGFB	ENSG00000173511	203683_s_at
PEAK1	ENSG00000173517	220008_at
SLC6A16	ENSG00000063127	219820_at
HMBS	ENSG00000256269	203040_s_at
TRIM37	ENSG00000108395	213009_s_at
PPCS	ENSG00000127125	218341_at
HIVEP3	ENSG00000127124	220042_x_at
HNRNPH2	ENSG00000126945	201132_at
IMPG1	ENSG00000112706	207054_at
ZNF532	ENSG00000074657	220617_s_at
LLGL2	ENSG00000073350	203713_s_at
MXI1	ENSG00000119950	202364_at
MRPS33	ENSG00000090263	218654_s_at
TSEN34	ENSG00000170892	218132_s_at
NDUFB1	ENSG00000183648	206790_s_at
GSTA4	ENSG00000170899	202967_at
GPATCH1	ENSG00000076650	219818_s_at
SMO	ENSG00000128602	218629_at
ATP13A2	ENSG00000159363	218608_at
PTK2B	ENSG00000120899	203111_s_at
MPP1	ENSG00000130830	202974_at
PTPN3	ENSG00000070159	203997_at
WNT8B	ENSG00000075290	207612_at
TYROBP	ENSG00000011600	204122_at
FZD1	ENSG00000157240	204452_s_at
MAP3K14	ENSG00000006062	205192_at
DCTN3	ENSG00000137100	204246_s_at
KIAA1967	ENSG00000158941	221070_s_at
OSTF1	ENSG00000134996	204479_at
PGGT1B	ENSG00000164219	206288_at
HNF4G	ENSG00000164749	207456_at
SFT2D2	ENSG00000213064	214838_at
INTS9	ENSG00000104299	203941_at
PACSIN2	ENSG00000100266	201651_s_at
RHBDD3	ENSG00000100263	204402_at
FZD3	ENSG00000104290	219683_at
MTFR1	ENSG00000066855	203207_s_at
COQ9	ENSG00000088682	212228_s_at
MCTS1	ENSG00000232119	218163_at
PCDHGA1	ENSG00000204956	211880_x_at
IFI30	ENSG00000216490	201422_at
RPS13	ENSG00000110700	200018_at
KCNC3	ENSG00000131398	207600_at
HARS2	ENSG00000112855	209252_at
GSTM5	ENSG00000134201	205752_s_at
GSTM3	ENSG00000134202	202554_s_at
FES	ENSG00000182511	205418_at
GLRX5	ENSG00000182512	221932_s_at
ERBB2IP	ENSG00000112851	217941_s_at
AGMAT	ENSG00000116771	219792_at
GOLGA5	ENSG00000066455	218241_at
MTMR11	ENSG00000014914	205076_s_at
DHCR24	ENSG00000116133	200862_at
DOCK3	ENSG00000088538	213482_at
TAF6	ENSG00000106290	203572_s_at
SARS2	ENSG00000104835	218702_at
CEP41	ENSG00000106477	215637_at
TFDP1	ENSG00000198176	204147_s_at
RPRM	ENSG00000177519	219370_at
DDRGK1	ENSG00000198171	218159_at
ZNF862	ENSG00000106479	213444_at
OR2B6	ENSG00000124657	216522_at
SLC38A4	ENSG00000139209	220786_s_at
SLC22A1	ENSG00000175003	207201_s_at
TBCC	ENSG00000124659	202495_at
MFHAS1	ENSG00000147324	213457_at
POPDC3	ENSG00000132429	219926_at
GPN2	ENSG00000142751	218799_at
INO80D	ENSG00000114933	220165_at
GPX4	ENSG00000167468	201106_at
H1F0	ENSG00000189060	208886_at
RAB8A	ENSG00000167461	208819_at
SDK2	ENSG00000069188	220628_s_at
ZNF205	ENSG00000122386	206416_at
ZNF711	ENSG00000147180	207781_s_at
TRAF3IP1	ENSG00000204104	214458_at
TESC	ENSG00000088992	218872_at
SCNN1B	ENSG00000168447	205464_at
FAM50A	ENSG00000071859	203262_s_at
HRSP12	ENSG00000132541	203790_s_at
PGS1	ENSG00000087157	219394_at
CYB561D2	ENSG00000114395	209665_at
ATAD5	ENSG00000176208	220223_at
ZNF215	ENSG00000149054	220214_at
TRIM5	ENSG00000132256	210705_s_at
ZNF214	ENSG00000149050	220497_at
